Dataset,Classifier,Input Embedding Dimension,Output Embedding Dimension,Accuracy,F1-Score,Precision,Recall
varol-icwsm,Balanced Logistic Regression,16,64,0.8240963855421687,0.80222743029488,0.7961685823754789,0.8103919049148731
gilani-2017,Balanced Logistic Regression,64,64,0.7991360691144709,0.7935740892551524,0.7942516143911439,0.79296785304248
varol-icwsm,Balanced Logistic Regression,128,64,0.8120481927710843,0.7912474849094567,0.7836827096257755,0.803579076988971
varol-icwsm,Balanced Logistic Regression,16,128,0.8120481927710843,0.7890600563027839,0.7829861995213118,0.797515793982225
varol-icwsm,Balanced Logistic Regression,32,128,0.8048192771084337,0.7842993820624867,0.7764888337468983,0.7982787236320805
gilani-2017,Balanced Logistic Regression,128,64,0.7904967602591793,0.784049545845775,0.7857736943907156,0.7827114427860696
varol-icwsm,Balanced Logistic Regression,64,128,0.8048192771084337,0.7821013943177177,0.7754200938588081,0.7922154406253346
gilani-2017,Balanced Logistic Regression,16,128,0.7840172786177105,0.7788160207903387,0.778453112476623,0.779209720627631
gilani-2017,Balanced Logistic Regression,16,64,0.7840172786177105,0.7775407441574416,0.7789460471942223,0.776415996938385
gilani-2017,Balanced Logistic Regression,32,128,0.7818574514038877,0.7758170216641977,0.7764548739237392,0.7752487562189054
varol-icwsm,Balanced Logistic Regression,128,128,0.7951807228915663,0.7736474996952021,0.7661910669975186,0.7871693971517293
gilani-2017,Balanced Logistic Regression,64,32,0.7796976241900648,0.7734312032239493,0.7743012781028642,0.7726846536548029
varol-icwsm,Balanced Logistic Regression,32,32,0.7951807228915663,0.7721267950465436,0.7653145695364238,0.7831272084805654
gilani-2017,Balanced Logistic Regression,128,16,0.7796976241900648,0.772013671648708,0.7752634660421545,0.7698909299655569
gilani-2017,Balanced Logistic Regression,64,128,0.7775377969762419,0.7710396812060397,0.7721515326778485,0.7701205510907003
varol-icwsm,Balanced Logistic Regression,64,64,0.7903614457831325,0.7683215585115598,0.7610421836228287,0.7816147339115537
varol-icwsm,Balanced Logistic Regression,128,32,0.7951807228915663,0.7680207285234215,0.7639902676399026,0.7730217368026555
varol-icwsm,Balanced Logistic Regression,64,32,0.7903614457831325,0.7675519072911636,0.7605523125280647,0.7795936395759717
varol-icwsm,Balanced Logistic Regression,32,64,0.7903614457831325,0.7675519072911636,0.7605523125280647,0.7795936395759717
varol-icwsm,Balanced Logistic Regression,64,16,0.7903614457831325,0.7659607568597708,0.7597138820204874,0.7755514509048078
gilani-2017,Balanced Logistic Regression,64,16,0.7710583153347732,0.7658581733521621,0.7652181361352215,0.7666188289322617
gilani-2017,Balanced Logistic Regression,128,128,0.7710583153347732,0.7655449820377589,0.7651998015342926,0.7659203980099503
varol-icwsm,Balanced Logistic Regression,128,16,0.7879518072289157,0.7652714932126697,0.7582101806239738,0.7778268551236749
gilani-2017,Balanced Logistic Regression,32,64,0.7710583153347732,0.7645461523699866,0.7653892054203881,0.7638251052430156
gilani-2017,Balanced Logistic Regression,32,16,0.7710583153347732,0.7626789168278529,0.7665451980721758,0.760332950631458
gilani-2017,Balanced Logistic Regression,16,32,0.7688984881209503,0.7621480183402549,0.763225371120108,0.7612610026789131
gilani-2017,Balanced Logistic Regression,16,16,0.7688984881209503,0.7602371445856019,0.7644483706321162,0.7577688480673554
gilani-2017,Balanced Logistic Regression,128,32,0.7667386609071274,0.7597440036900369,0.7610647665392191,0.7586969001148105
varol-icwsm,Balanced Logistic Regression,16,32,0.7831325301204819,0.756607757272443,0.7512858379589551,0.7641878145411715
varol-icwsm,Balanced Logistic Regression,16,16,0.7807228915662651,0.754340430237626,0.7488323687684029,0.7624210300888746
gilani-2017,Balanced Logistic Regression,32,32,0.7602591792656588,0.7543179482276454,0.7541466024612092,0.7544967470340604
varol-icwsm,Balanced Logistic Regression,32,16,0.7759036144578313,0.752343734960633,0.7455955334987594,0.7649507441910268
